date,total_pnl,total_volume,win_rate,trade_count,sentiment
2024-12-19,62744.004486000005,8241709.39,0.6148547469302186,3339,Greed
2024-12-20,254969.660039,7681274.71,0.5558681672025724,2488,Greed
2024-12-21,150022.163157,4382875.12,0.5496728138013087,1681,Greed
2024-12-22,352197.163973,3087320.22,0.4354005167958656,774,Greed
2024-12-23,-29430.626577,6771878.26,0.2901576480613549,2347,Greed
2024-12-24,14813.780116,1767036.11,0.33727810650887574,338,Greed
2024-12-25,756.6570469999998,347889.35,0.30288461538461536,208,Greed
2024-12-26,60228.639722,2205242.65,0.5136298421807748,697,Greed
2024-12-27,2672.811035,347913.0,0.4230769230769231,260,Greed
2024-12-28,940.673623,281555.01,0.22981366459627328,161,Greed
2024-12-29,2884.067927,344628.54,0.31840796019900497,201,Greed
2024-12-30,9009.738137,1073865.73,0.39473684210526316,304,Greed
2024-12-31,5445.01281,877164.62,0.3006535947712418,306,Greed
2025-01-01,-9528.065345,282582.1,0.3020833333333333,96,Greed
2025-01-02,8716.519087,774674.84,0.45706371191135736,361,Greed
2025-01-03,6028.486793,771208.99,0.27165354330708663,508,Greed
2025-01-04,2553.537968,1826029.6199999999,0.20215633423180593,371,Greed
2025-01-05,3187.719363,451943.57,0.41841004184100417,239,Greed
2025-01-06,6064.185393,556526.99,0.15532286212914484,573,Greed
2025-01-07,16098.227531,1313178.1,0.7613814756671899,637,Greed
2025-01-08,130117.090554,3177275.18,0.37151106833493747,1039,Greed
2025-01-09,46975.928902,1020733.25,0.2777777777777778,522,Greed
2025-01-11,2269.080536,1658098.71,0.24381625441696114,283,Greed
2025-01-12,5742.241803,2258459.17,0.7840531561461794,602,Greed
2025-01-13,9655.429352,2936648.0100000002,0.3872549019607843,408,Greed
2025-01-14,16069.512355,876581.97,0.49818181818181817,275,Greed
2025-01-15,14819.5883,1801599.8900000001,0.4606741573033708,267,Greed
2025-01-16,20807.709328,3049692.96,0.3423180592991914,371,Greed
2025-01-17,7006.415608,1110230.46,0.5294117647058824,238,Greed
2025-01-18,443.2330819999997,2711629.88,0.38095238095238093,651,Greed
2025-01-19,87923.799302,9715215.3,0.20229738353541799,1567,Greed
2025-01-20,87277.239173,8287327.01,0.5224334600760456,1315,Greed
2025-01-21,11077.839421,1523729.82,0.3867924528301887,530,Greed
2025-01-22,20524.408057,1778406.43,0.28125,832,Greed
2025-01-23,101256.24216,3697028.66,0.6609195402298851,1218,Greed
2025-01-24,10602.779738,1611433.45,0.5583524027459954,874,Greed
2025-01-25,-10348.016255999999,1239377.7,0.27865612648221344,506,Greed
2025-01-26,40823.466668,1201173.66,0.43458980044345896,451,Greed
2025-01-27,41331.765392,1508028.31,0.4760672703751617,773,Greed
2025-01-28,17979.613973,579412.17,0.6285140562248996,498,Greed
2025-01-29,23421.01147,1897513.41,0.4164835164835165,910,Greed
2025-01-30,23097.471385,3014397.17,0.3467666354264292,1067,Greed
2025-01-31,35868.296773,2783411.48,0.5413385826771654,1016,Greed
2025-02-01,32300.205017,1363746.44,0.5962145110410094,634,Greed
2025-02-02,162854.759623,5661092.29,0.35860500379075055,1319,Greed
2025-02-03,348871.326269,22592901.37,0.4634453781512605,2380,Fear
2025-02-04,416876.88812,15678409.27,0.276671974522293,2512,Greed
2025-02-07,22450.002091,3460263.54,0.2821522309711286,1524,Fear
2025-02-08,586.703253,839734.97,0.19130434782608696,575,Fear
2025-02-10,63908.49465,3624958.44,0.4780652418447694,889,Fear
2025-02-19,14985.794701,3263930.24,0.4276267450404115,1361,Fear
2025-02-21,119693.49395,3972159.88,0.5221569674319274,1873,Greed
2025-02-25,204762.177034,19414984.36,0.260646813960935,6246,Fear
2025-02-26,63229.063129,4946958.13,0.6709183673469388,1176,Fear
2025-02-27,-36525.167517,1999898.43,0.27752808988764044,890,Fear
2025-02-28,225628.108748,4123660.77,0.3886162904808636,1019,Fear
2025-03-01,10596.108968,263824.13,0.4482758620689655,174,Fear
2025-03-02,66914.320708,6460848.74,0.5018796992481203,532,Fear
2025-03-03,616413.032233,8244590.38,0.6153846153846154,1482,Fear
2025-03-04,182075.566585,11124247.15,0.25353871773522063,2402,Fear
2025-03-05,269328.365917,9193654.22,0.7584337349397591,1660,Fear
2025-03-06,16101.125561,6765324.96,0.48026315789473684,760,Fear
2025-03-07,150236.061627,19854275.48,0.5223354231974922,2552,Fear
2025-03-08,24700.773359,892083.51,0.5689981096408318,529,Fear
2025-03-09,19773.457395,10419697.99,0.4409282700421941,1422,Fear
2025-03-10,-10010.027269999999,16811790.68,0.39745791824115423,2911,Fear
2025-03-11,-76880.729036,14016952.09,0.18746195982958003,3286,Fear
2025-03-12,288105.984215,18618139.15,0.5645161290322581,3968,Fear
2025-03-14,68646.160089,8047187.16,0.8538461538461538,2210,Fear
2025-03-16,-7910.943544999999,10187921.51,0.2320754716981132,530,Fear
2025-03-17,26163.906513,3592895.05,0.4532608695652174,920,Fear
2025-03-18,72322.788824,4050655.47,0.22541966426858512,834,Fear
2025-03-19,29374.682341,4598813.57,0.4162531017369727,1612,Fear
2025-03-21,6951.270374,2543903.39,0.5,698,Fear
2025-03-22,12498.535254,971809.42,0.4747663551401869,535,Fear
2025-03-23,14047.421585,2593519.67,0.32662192393736017,447,Fear
2025-03-27,58825.359221,3240279.46,0.33375796178343947,785,Fear
2025-03-28,21337.179335,1483092.61,0.3173076923076923,728,Fear
2025-03-29,12098.872931,3668151.83,0.3558606124604013,1894,Fear
2025-03-30,15795.11514,2850874.96,0.16549295774647887,568,Fear
2025-03-31,6978.184557,2164772.4699999997,0.5232323232323233,495,Fear
2025-04-01,-2202.6622420000003,704445.1900000001,0.4583333333333333,192,Fear
2025-04-02,202212.740938,3867930.6,0.8949814126394052,1076,Fear
2025-04-03,-2365.961276,8670233.15,0.2974828375286041,1748,Fear
2025-04-04,-25515.678949999998,3835545.73,0.38757861635220126,1272,Fear
2025-04-05,35907.33771,1267564.22,0.5805555555555556,360,Fear
2025-04-06,47053.449272,3551252.06,0.31679389312977096,1048,Fear
2025-04-07,34527.370305,14460253.14,0.23916133617626156,2814,Fear
2025-04-08,34899.394798,8869391.4,0.4093319194061506,943,Fear
2025-04-09,43120.444797,28556806.47,0.43055205444920597,3967,Fear
2025-04-10,158261.822261,28741953.29,0.5289139633286318,2127,Fear
2025-04-11,126406.479081,11319327.07,0.3357664233576642,1096,Fear
2025-04-12,410419.694533,55914617.49,0.2721669037458511,2109,Fear
2025-04-14,45680.443063,13079972.98,0.42247191011235957,890,Fear
2025-04-15,72357.706282,20752168.24,0.5720601237842617,1131,Fear
2025-04-16,58631.730257,36502715.9,0.3401741293532338,1608,Fear
2025-04-17,5427.919886,2604551.51,0.30358874878758485,1031,Fear
2025-04-18,4880.4047439999995,24610650.46,0.5126715945089757,1894,Fear
2025-04-19,71950.577495,32706462.71,0.2921751615218952,2786,Fear
2025-04-20,25060.341936,12126094.05,0.3985872855701312,1982,Fear
2025-04-21,34369.267906999994,42104054.84,0.3940628637951106,1718,Fear
2025-04-23,-419020.225731,30682443.79,0.324728040266277,6159,Greed
2025-04-24,50704.395965,35088918.64,0.4135304659498208,2232,Greed
2025-04-25,20218.859206,27749455.78,0.38596491228070173,1653,Greed
2025-04-26,-4125.753942,11948127.77,0.1724137931034483,1131,Greed
2025-04-27,2702.067468,487537.69,0.3560830860534125,337,Greed
2025-04-29,125749.613427,34089511.66,0.43201069995541685,2243,Greed
2025-04-30,14003.797269,12693878.85,0.26504941599281223,1113,Greed
